web-scraper-order;web-scraper-start-url;category-link;category-link-href;product-link;product-link-href;name;short_description;regular_price;sale_price;sku;categories;description;weight;dimensions;image-src;length;width;heigth
1753761291-1;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Leite De Coco Tradicional TP – Sococo 1L R$27,70;https://loja.sococo.com.br/produto/leite-de-coco-tradicional-1l-tp/;Leite De Coco Tradicional TP – Sococo 1L;Esse é o queridinho entre os produtos SOCOCO e quem usa sabe o porquê. Traz aquela consistência caprichada, rende mais e ainda é zero glúten.;27,7;;SO1143;Categorias: Industrial, Leite de coco;"Esse é o queridinho entre os produtos SOCOCO e quem usa sabe o porquê. Traz aquela consistência caprichada, rende mais e ainda é zero glúten. Ingredientes: Leite de Coco, água, conservadores INS 202, INS 211 e INS 223, Acidulante INS 330, Espessantes INS 466, INS 412 e INS 415. Estabilizante INS 460i; Emulsificantes INS 435 e INS 471. Não contém glúten. Em caso de solidificação por baixa temperatura, colocar em banho-maria por alguns minutos e agitar.";1.06 kg;7.2 × 7.7 × 4 cm;https://loja.sococo.com.br/wp-content/uploads/2019/06/lttradlitro-1.jpg;7.2 ; 7.7 ; 4 cm
1753761294-2;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Oferta! Leite De Coco RTC TP – Sococo 1L R$23,00 R$21,70;https://loja.sococo.com.br/produto/leite-de-coco-rtc-1l-tp/;Leite De Coco RTC TP – Sococo 1L;Quem busca leite de coco com baixo teor de gordura encontra aqui. E, claro, com a qualidade e o sabor SOCOCO.;23;21,7;SO1176;Categorias: Industrial, Leite de coco;"Quem busca leite de coco com baixo teor de gordura encontra aqui. E, claro, com a qualidade e o sabor SOCOCO. Ingredientes: Leite de coco padronizado para 9 a 11% de gordura; Conservadores INS 202, INS 211 e INS 223; Acidulante INS 330; Espessantes INS 466, INS 412 e INS 415; Estabilizante INS 460i; Emulsificantes INS 435 e INS 471.";1.06 kg;7.2 × 7.7 × 4 cm;https://loja.sococo.com.br/wp-content/uploads/2019/06/RTC1L.jpg;7.2 ; 7.7 ; 4 cm
1753761298-3;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Sweet Floco – Sococo 5kg R$232,85;https://loja.sococo.com.br/produto/sweet-floco-5k/;Sweet Floco – Sococo 5kg;Na?o e? por nada na?o, mas com esses fios de coco adoc?ados voce? faz mais que sobremesas. Faz obras de arte. U?midos, deliciosos e perfeitos pra coberturas e recheios.;232,85;;SO1165;Categorias: Industrial, Ralados;Na?o e? por nada na?o, mas com esses fios de coco adoc?ados voce? faz mais que sobremesas. Faz obras de arte. U?midos, deliciosos e perfeitos pra coberturas e recheios. Ingredientes: Coco em flocos úmido, açúcar, sal, Umectante INS 1520 e Conservador INS 223.;6.5 kg;30 × 15 × 15 cm;https://loja.sococo.com.br/wp-content/uploads/2019/07/SweetFloco_Industrial5kg_OK.png;30;15; 15 cm
1753761301-4;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Sweet Floco – Sococo 1kg R$53,46;https://loja.sococo.com.br/produto/sweet-floco-1kg/;Sweet Floco – Sococo 1kg;Não é por nada não, mas com esses fios de coco adoçados você faz mais que sobremesas. Faz obras de arte. Úmidos, deliciosos e perfeitos pra coberturas e recheios.;53,46;;SO1142;Categorias: Industrial, Ralados;Não é por nada não, mas com esses fios de coco adoçados você faz mais que sobremesas. Faz obras de arte. Úmidos, deliciosos e perfeitos pra coberturas e recheios. Ingredientes: Coco em flocos úmido, açúcar, sal, Umectante INS 1520 e Conservador INS 223.;1.10 kg;10 × 5 × 2 cm;https://loja.sococo.com.br/wp-content/uploads/2019/08/swfl1k.jpg;10;5; 2 cm
1753761304-5;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Sweet Floco Queimado – Sococo 5kg R$214,00;https://loja.sococo.com.br/produto/sweet-floco-queimado-5-kg/;Sweet Floco Queimado – Sococo 5kg;O que já era bom ficou queimadinho, torradinho e crocante.;214;;SO1163;Categoria: Industrial;O que já era bom ficou queimadinho, torradinho e crocante. Sweet Floco Queimado acompanha sorvetes, bolos, coberturas e muito mais! Ingredientes: Coco em flocos, açúcar, glicose e sal.;5.10 kg;10 × 10 × 5 cm;https://loja.sococo.com.br/wp-content/uploads/2019/08/SweetFlocoQueimado5kg_Industrial.png;10;10; 5 cm
1753761309-6;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Sweet Floco Queimado – Sococo 1kgAvaliação 5.00 de 5 R$38,50;https://loja.sococo.com.br/produto/sweet-floco-queimado-1k/;Sweet Floco Queimado – Sococo 1kg;O que já era bom ficou queimadinho, torradinho e crocante.;38,5;;SO1164;Categorias: Industrial, Ralados;O que já era bom ficou queimadinho, torradinho e crocante. Sweet Floco Queimado acompanha sorvetes, bolos, coberturas e muito mais! Ingredientes Coco em flocos, açúcar, glicose e sal.;1.1 kg;10 × 2 × 2 cm;https://loja.sococo.com.br/wp-content/uploads/2019/11/swflq1k.jpg;10;2; 2 cm
1753761314-7;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Oferta! Coco Ralado – Sococo 1kgAvaliação 5.00 de 5 R$58,64 R$55,81;https://loja.sococo.com.br/produto/coco-ralado-1kg/;Coco Ralado – Sococo 1kg;;58,64;55,81;SO1158;Categorias: Industrial, Ralados;Extraído através da técnica de desidratação da polpa dos melhores cocos, o Coco Ralado Sococo se destaca pelo tradicionalismo em realçar receitas doces e salgadas com o sabor puro e incomparável do fruto, sem o trabalhoso passo a passo de quebrar, soltar, descascar e ralar. Ingredientes: Polpa de coco parcialmente desengordurada, desidratada. Conservador INS 223. Não contém Glúten.;1.100 kg;10 × 2 × 2 cm;https://loja.sococo.com.br/wp-content/uploads/2020/06/ral1k.jpg;10;2; 2 cm
1753761319-8;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Oferta! Sweet Coco – Sococo 5kg R$236,05 R$204,25;https://loja.sococo.com.br/produto/sweet-coco-sococo-5kg/;Sweet Coco – Sococo 5kg;;236,05;204,25;SO1159;Categorias: Industrial, Ralados;Na medida certa para os chefes de grandes cozinhas de restaurantes, fábricas e indústrias, a Linha Industrial da Sococo oferece praticidade e qualidade com produtos em larga escala e que rendem muito mais.;5.2 kg;5 × 30 × 50 cm;https://loja.sococo.com.br/wp-content/uploads/2022/08/sweetcoco.png;5;30; 50 cm
1753761323-9;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Oferta! Coco Ralado Medio – Sococo 5Kg R$280,47 R$266,96;https://loja.sococo.com.br/produto/coco-ralado-medio-sococo-5kg/;Coco Ralado Medio – Sococo 5Kg;;280,47;266,96;SO1178;Categorias: Industrial, Ralados;Coco Ralado Medio – Sococo 5 kilos;5.1 kg;10 × 15 × 30 cm;https://loja.sococo.com.br/wp-content/uploads/2024/01/12173365058_11831948891_11400010833_nonamea1.png;10;15; 30 cm
1753761328-10;https://loja.sococo.com.br;Industrial;https://loja.sococo.com.br/categoria-produto/industrial/;Oferta! Coco Ralado Fino – Sococo 5kg R$280,47 R$266,96;https://loja.sococo.com.br/produto/coco-ralado-fino-sococo-5kg/;Coco Ralado Fino – Sococo 5kg;;280,47;266,96;SO1175;Categorias: Industrial, Ralados;Extraído através da técnica de desidratação da polpa dos melhores cocos, o Coco Ralado Sococo se destaca pelo tradicionalismo em realçar receitas doces e salgadas com o sabor puro e incomparável do fruto, sem o trabalhoso passo a passo de quebrar, soltar, descascar e ralar.;5.1 kg;10 × 15 × 30 cm;https://loja.sococo.com.br/wp-content/uploads/2024/01/11833101332_11832418804_10891267196_Coco20Ralado20Fino20Sococo205Kg.png;10;15; 30 cm
